keyword,workCount,adCount,dailyAdCount,dailyCount,cafeCount,cafeIds,articleUrlCount,firstPublishedAt,lastPublishedAt
"매스틱 유산균","4","3","1","0","3","25227349 | 25460974 | 25729954","4","2026-04-09T09:48:38.158Z","2026-04-17T03:31:50.231Z"
"배란일 임신 확률","4","0","0","0","3","25227349 | 25460974 | 25636798","4","2026-03-11T12:12:33.130Z","2026-03-17T12:10:49.602Z"
"백출 설사 개선","4","0","0","0","2","25227349 | 25636798","4","2026-01-26T01:58:56.574Z","2026-02-04T04:26:56.218Z"
"산후 영양제","4","4","0","0","2","25227349 | 25636798","4","2026-04-07T11:39:48.226Z","2026-05-17T16:27:45.093Z"
"산후 음식 기력 회복","4","3","0","0","3","25227349 | 25460974 | 25729954","4","2026-03-19T10:10:47.150Z","2026-05-02T04:51:20.708Z"
"산후도우미 지원기간","4","3","0","0","1","25227349","4","2026-03-19T12:07:39.319Z","2026-05-02T11:51:21.787Z"
"삼성헬스 수면 점수 보고 카페인 줄여볼까 고민 중","4","0","0","4","1","25636798","4","2026-04-14T10:41:29.062Z","2026-04-15T07:32:19.701Z"
"생리후 임신가능성 확률","4","2","2","0","3","25460974 | 25636798 | 25729954","4","2026-04-05T05:49:57.530Z","2026-05-09T07:29:15.815Z"
"손발저림 영양제","4","0","0","0","3","25227349 | 25460974 | 25636798","4","2026-02-27T09:19:06.344Z","2026-03-17T12:02:35.664Z"
"수원 난임병원","4","2","2","0","3","25227349 | 25460974 | 25636798","4","2026-04-04T11:33:16.139Z","2026-05-10T11:48:10.346Z"
"수제쌍화차","4","0","0","0","1","25227349","4","2026-02-12T08:53:36.491Z","2026-02-28T07:45:46.512Z"
"수족냉증 선물","4","1","0","0","1","25729954","4","2026-02-24T13:33:01.382Z","2026-05-03T18:48:39.848Z"
"수족냉증치료 흑염소진액","4","0","0","0","2","25227349 | 25636798","4","2026-03-07T10:06:30.901Z","2026-03-10T05:19:30.607Z"
"숙지황 효능","4","0","0","0","1","25636798","4","2026-02-02T03:38:49.928Z","2026-03-10T01:47:41.243Z"
"쌍화차재료","4","2","0","0","3","25227349 | 25636798 | 25729954","4","2026-02-14T11:14:43.969Z","2026-04-01T13:08:10.622Z"
"어머님 생신선물","4","3","1","0","2","25460974 | 25729954","4","2026-04-06T05:50:14.420Z","2026-05-04T17:40:30.661Z"
"염소즙","4","1","1","0","3","25460974 | 25636798 | 25729954","4","2026-02-28T08:27:59.123Z","2026-04-09T11:25:23.890Z"
